variable,areaName,Borough,areaType,value
2010-02-01,Bay Ridge,Brooklyn,neighborhood,63
2010-02-01,Baychester,Bronx,neighborhood,0
2010-02-01,Bayside,Queens,neighborhood,30
2010-02-01,Bedford Park,Bronx,neighborhood,2
2010-02-01,Bedford-Stuyvesant,Brooklyn,neighborhood,166
2010-02-01,Bellerose,Queens,neighborhood,1
2010-02-01,Belmont,Bronx,neighborhood,1
2010-02-01,Bensonhurst,Brooklyn,neighborhood,5
2010-02-01,Bergen Beach,Brooklyn,neighborhood,17
2010-02-01,Boerum Hill,Brooklyn,neighborhood,45
2010-02-01,Borough Park,Brooklyn,neighborhood,4
2010-02-01,Briarwood,Queens,neighborhood,39
2010-02-01,Brighton Beach,Brooklyn,neighborhood,30
2010-02-01,Bronx,Bronx,borough,598
2010-02-01,Bronxwood,Bronx,neighborhood,3
2010-02-01,Brooklyn,Brooklyn,borough,3288
2010-02-01,Brooklyn Heights,Brooklyn,neighborhood,242
2010-02-01,Brookville,Queens,neighborhood,2
2010-02-01,Brownsville,Brooklyn,neighborhood,1
2010-02-01,Bushwick,Brooklyn,neighborhood,42
2010-02-01,Cambria Heights,Queens,neighborhood,0
2010-02-01,Canarsie,Brooklyn,neighborhood,33
2010-02-01,Carroll Gardens,Brooklyn,neighborhood,62
2010-02-01,Castle Hill,Bronx,neighborhood,2
2010-02-01,Central Harlem,Manhattan,neighborhood,638
2010-02-01,Central Park South,Manhattan,neighborhood,120
2010-02-01,Central Queens,Queens,submarket,202
2010-02-01,Chelsea,Manhattan,neighborhood,508
2010-02-01,Chinatown,Manhattan,neighborhood,10
2010-02-01,City Island,Bronx,neighborhood,4
2010-02-01,Civic Center,Manhattan,neighborhood,11
2010-02-01,Clearview,Queens,neighborhood,2
2010-02-01,Clinton Hill,Brooklyn,neighborhood,103
2010-02-01,Co-op City,Bronx,neighborhood,0
2010-02-01,Cobble Hill,Brooklyn,neighborhood,38
2010-02-01,College Point,Queens,neighborhood,10
2010-02-01,Columbia St Waterfront District,Brooklyn,neighborhood,13
2010-02-01,Concourse,Bronx,neighborhood,35
2010-02-01,Coney Island,Brooklyn,neighborhood,7
2010-02-01,Corona,Queens,neighborhood,7
2010-02-01,Country Club,Bronx,neighborhood,2
2010-02-01,Crotona Park East,Bronx,neighborhood,1
2010-02-01,Crown Heights,Brooklyn,neighborhood,189
2010-02-01,DUMBO,Brooklyn,neighborhood,62
2010-02-01,Ditmas Park,Brooklyn,neighborhood,84
2010-02-01,Douglaston,Queens,neighborhood,11
2010-02-01,Downtown Brooklyn,Brooklyn,neighborhood,170
2010-02-01,Dyker Heights,Brooklyn,neighborhood,10
2010-02-01,East Brooklyn,Brooklyn,submarket,436
2010-02-01,East Elmhurst,Queens,neighborhood,3
2010-02-01,East Flatbush,Brooklyn,neighborhood,40
2010-02-01,East Harlem,Manhattan,neighborhood,85
2010-02-01,East New York,Brooklyn,neighborhood,38
2010-02-01,East Tremont,Bronx,neighborhood,6
2010-02-01,East Village,Manhattan,neighborhood,155
2010-02-01,Eastchester,Bronx,neighborhood,0
2010-02-01,Edenwald,Bronx,neighborhood,1
2010-02-01,Elmhurst,Queens,neighborhood,3
2010-02-01,Financial District,Manhattan,neighborhood,419
2010-02-01,Flatbush,Brooklyn,neighborhood,41
2010-02-01,Flatiron,Manhattan,neighborhood,255
2010-02-01,Flatlands,Brooklyn,neighborhood,4
2010-02-01,Floral Park,Queens,neighborhood,0
2010-02-01,Flushing,Queens,neighborhood,90
2010-02-01,Fordham,Bronx,neighborhood,0
2010-02-01,Forest Hills,Queens,neighborhood,52
2010-02-01,Fort Greene,Brooklyn,neighborhood,160
2010-02-01,Fresh Meadows,Queens,neighborhood,2
2010-02-01,Gerritsen Beach,Brooklyn,neighborhood,0
2010-02-01,Glen Oaks,Queens,neighborhood,2
2010-02-01,Glendale,Queens,neighborhood,2
2010-02-01,Gowanus,Brooklyn,neighborhood,140
2010-02-01,Gramercy Park,Manhattan,neighborhood,189
2010-02-01,Gravesend,Brooklyn,neighborhood,37
2010-02-01,Greenpoint,Brooklyn,neighborhood,99
2010-02-01,Greenwich Village,Manhattan,neighborhood,342
2010-02-01,Greenwood,Brooklyn,neighborhood,46
2010-02-01,Hamilton Heights,Manhattan,neighborhood,122
2010-02-01,Highbridge,Bronx,neighborhood,3
2010-02-01,Hillcrest,Queens,neighborhood,3
2010-02-01,Hollis,Queens,neighborhood,0
2010-02-01,Howard Beach,Queens,neighborhood,7
2010-02-01,Hunts Point,Bronx,neighborhood,0
2010-02-01,Inwood,Manhattan,neighborhood,50
2010-02-01,Jackson Heights,Queens,neighborhood,60
2010-02-01,Jamaica,Queens,neighborhood,15
2010-02-01,Jamaica Estates,Queens,neighborhood,6
2010-02-01,Jamaica Hills,Queens,neighborhood,5
2010-02-01,Kensington,Brooklyn,neighborhood,60
2010-02-01,Kew Gardens,Queens,neighborhood,24
2010-02-01,Kew Gardens Hills,Queens,neighborhood,23
2010-02-01,Kingsbridge,Bronx,neighborhood,12
2010-02-01,Laconia,Bronx,neighborhood,4
2010-02-01,Laurelton,Queens,neighborhood,5
2010-02-01,Little Italy,Manhattan,neighborhood,7
2010-02-01,Little Neck,Queens,neighborhood,14
2010-02-01,Long Island City,Queens,neighborhood,155
2010-02-01,Longwood,Bronx,neighborhood,1
2010-02-01,Lower East Side,Manhattan,neighborhood,115
2010-02-01,Manhattan,Manhattan,borough,10309
2010-02-01,Manhattan Beach,Brooklyn,neighborhood,0
2010-02-01,Marble Hill,Manhattan,neighborhood,0
2010-02-01,Marine Park,Brooklyn,neighborhood,8
2010-02-01,Maspeth,Queens,neighborhood,8
2010-02-01,Melrose,Bronx,neighborhood,0
2010-02-01,Middle Village,Queens,neighborhood,7
2010-02-01,Midtown,Manhattan,neighborhood,310
2010-02-01,Midtown East,Manhattan,neighborhood,1332
2010-02-01,Midtown South,Manhattan,neighborhood,94
