variable,areaName,Borough,areaType,value
2010-02-01,All Upper West Side,Manhattan,submarket,2800.0
2010-02-01,Astoria,Queens,neighborhood,1650.0
2010-02-01,Auburndale,Queens,neighborhood,
2010-02-01,Bath Beach,Brooklyn,neighborhood,
2010-02-01,Battery Park City,Manhattan,neighborhood,3346.0
2010-02-01,Bay Ridge,Brooklyn,neighborhood,1388.0
2010-02-01,Baychester,Bronx,neighborhood,
2010-02-01,Bayside,Queens,neighborhood,1838.0
2010-02-01,Bedford Park,Bronx,neighborhood,
2010-02-01,Bedford-Stuyvesant,Brooklyn,neighborhood,1650.0
2010-02-01,Bellerose,Queens,neighborhood,
2010-02-01,Belmont,Bronx,neighborhood,
2010-02-01,Bensonhurst,Brooklyn,neighborhood,
2010-02-01,Bergen Beach,Brooklyn,neighborhood,
2010-02-01,Boerum Hill,Brooklyn,neighborhood,2700.0
2010-02-01,Borough Park,Brooklyn,neighborhood,
2010-02-01,Briarwood,Queens,neighborhood,1325.0
2010-02-01,Brighton Beach,Brooklyn,neighborhood,
2010-02-01,Bronx,Bronx,borough,1600.0
2010-02-01,Bronxwood,Bronx,neighborhood,
2010-02-01,Brooklyn,Brooklyn,borough,2150.0
2010-02-01,Brooklyn Heights,Brooklyn,neighborhood,2300.0
2010-02-01,Brookville,Queens,neighborhood,
2010-02-01,Brownsville,Brooklyn,neighborhood,
2010-02-01,Bushwick,Brooklyn,neighborhood,1475.0
2010-02-01,Cambria Heights,Queens,neighborhood,
2010-02-01,Canarsie,Brooklyn,neighborhood,
2010-02-01,Carroll Gardens,Brooklyn,neighborhood,2225.0
2010-02-01,Castle Hill,Bronx,neighborhood,
2010-02-01,Central Harlem,Manhattan,neighborhood,1963.0
2010-02-01,Central Park South,Manhattan,neighborhood,6000.0
2010-02-01,Central Queens,Queens,submarket,1483.0
2010-02-01,Chelsea,Manhattan,neighborhood,3400.0
2010-02-01,Chinatown,Manhattan,neighborhood,2900.0
2010-02-01,City Island,Bronx,neighborhood,
2010-02-01,Civic Center,Manhattan,neighborhood,
2010-02-01,Clearview,Queens,neighborhood,
2010-02-01,Clinton Hill,Brooklyn,neighborhood,1950.0
2010-02-01,Co-op City,Bronx,neighborhood,
2010-02-01,Cobble Hill,Brooklyn,neighborhood,2350.0
2010-02-01,College Point,Queens,neighborhood,
2010-02-01,Columbia St Waterfront District,Brooklyn,neighborhood,1950.0
2010-02-01,Concourse,Bronx,neighborhood,
2010-02-01,Coney Island,Brooklyn,neighborhood,
2010-02-01,Corona,Queens,neighborhood,1098.0
2010-02-01,Country Club,Bronx,neighborhood,
2010-02-01,Crotona Park East,Bronx,neighborhood,
2010-02-01,Crown Heights,Brooklyn,neighborhood,2125.0
2010-02-01,DUMBO,Brooklyn,neighborhood,3200.0
2010-02-01,Ditmas Park,Brooklyn,neighborhood,1850.0
2010-02-01,Douglaston,Queens,neighborhood,
2010-02-01,Downtown Brooklyn,Brooklyn,neighborhood,2227.0
2010-02-01,Dyker Heights,Brooklyn,neighborhood,
2010-02-01,East Brooklyn,Brooklyn,submarket,1750.0
2010-02-01,East Elmhurst,Queens,neighborhood,
2010-02-01,East Flatbush,Brooklyn,neighborhood,1700.0
2010-02-01,East Harlem,Manhattan,neighborhood,1900.0
2010-02-01,East New York,Brooklyn,neighborhood,
2010-02-01,East Tremont,Bronx,neighborhood,
2010-02-01,East Village,Manhattan,neighborhood,2500.0
2010-02-01,Eastchester,Bronx,neighborhood,
2010-02-01,Edenwald,Bronx,neighborhood,
2010-02-01,Elmhurst,Queens,neighborhood,1150.0
2010-02-01,Financial District,Manhattan,neighborhood,3100.0
2010-02-01,Flatbush,Brooklyn,neighborhood,1600.0
2010-02-01,Flatiron,Manhattan,neighborhood,3750.0
2010-02-01,Flatlands,Brooklyn,neighborhood,
2010-02-01,Floral Park,Queens,neighborhood,
2010-02-01,Flushing,Queens,neighborhood,1450.0
2010-02-01,Fordham,Bronx,neighborhood,
2010-02-01,Forest Hills,Queens,neighborhood,1800.0
2010-02-01,Fort Greene,Brooklyn,neighborhood,2200.0
2010-02-01,Fresh Meadows,Queens,neighborhood,
2010-02-01,Gerritsen Beach,Brooklyn,neighborhood,
2010-02-01,Glen Oaks,Queens,neighborhood,
2010-02-01,Glendale,Queens,neighborhood,
2010-02-01,Gowanus,Brooklyn,neighborhood,1600.0
2010-02-01,Gramercy Park,Manhattan,neighborhood,3000.0
2010-02-01,Gravesend,Brooklyn,neighborhood,1519.0
2010-02-01,Greenpoint,Brooklyn,neighborhood,2225.0
2010-02-01,Greenwich Village,Manhattan,neighborhood,3200.0
2010-02-01,Greenwood,Brooklyn,neighborhood,1750.0
2010-02-01,Hamilton Heights,Manhattan,neighborhood,1700.0
2010-02-01,Highbridge,Bronx,neighborhood,
2010-02-01,Hillcrest,Queens,neighborhood,
2010-02-01,Hollis,Queens,neighborhood,
2010-02-01,Howard Beach,Queens,neighborhood,
2010-02-01,Hunts Point,Bronx,neighborhood,
2010-02-01,Inwood,Manhattan,neighborhood,1395.0
2010-02-01,Jackson Heights,Queens,neighborhood,1250.0
2010-02-01,Jamaica,Queens,neighborhood,
2010-02-01,Jamaica Estates,Queens,neighborhood,
2010-02-01,Jamaica Hills,Queens,neighborhood,
2010-02-01,Kensington,Brooklyn,neighborhood,1775.0
2010-02-01,Kew Gardens,Queens,neighborhood,1425.0
2010-02-01,Kew Gardens Hills,Queens,neighborhood,
2010-02-01,Kingsbridge,Bronx,neighborhood,1193.0
2010-02-01,Laconia,Bronx,neighborhood,
2010-02-01,Laurelton,Queens,neighborhood,
2010-02-01,Little Italy,Manhattan,neighborhood,3050.0
2010-02-01,Little Neck,Queens,neighborhood,
2010-02-01,Long Island City,Queens,neighborhood,2500.0
2010-02-01,Longwood,Bronx,neighborhood,
2010-02-01,Lower East Side,Manhattan,neighborhood,2250.0
2010-02-01,Manhattan,Manhattan,borough,2795.0
